파운트,https://fount.co,1,"파운트는 Back-Test 및 시장분석하는 고유의 기술력을 통해 다양한 전략을 테스트하고 로보어드바이저 엔진 BLUEWHALE을 지속적으로 업그레이드하고 있습니다.",fount
AIM,http://getaim.co/#/home/,1,AIM은 알고리즘 기반 모바일 자산관리 서비스 입니다. AIM의 알고리즘은 긴 호흡으로 경기사이클을 모니터링하며 꾸준히 위험신호나 회복신호를 감지합니다. 수익이 높으면서도 위험을 줄일 수 있도록 설계된 꾸준하고 안정적인 모바일 자산관리 서비스입니다.,AIM
Tumblbug,https://tumblbug.com/,1,"텀블벅은 대한민국에서 서비스 중인 대표적인 크라우드 펀딩 사이트 중 하나로 예술, 문화 컨텐츠를 중점적으로 다루고 있다. 특히 그 중에서도 독립적인 문화창작자들의 지원을 목표로 한다. ",Tumblbug
Rooffunding,https://www.rooffunding.com/,1,"루프펀딩은 부동산 P2P 대출 플랫폼을 운영하는 스타트업 입니다. 루프펀딩은 현재까지 고액자산가와 기관투자자에게만 가능하였던 부동산 투자를 최소 10만원의 소액으로 누구나 쉽게할 수 있는 세상을 만들고자 합니다. 루프펀딩은 서비스 출시 후 현재까지 누적으로 약 1,110억원 규모의 거래를 성사시켰으며, 다양한 대출 투자 상품을 제공하여 많은 사람들의 주목을 끌고 있습니다. ",Rooffunding
Btckorea,https://www.bithumb.com/,1,"(주)비티씨코리아닷컴은 국내 최대 가상화폐 거래소인 빗썸(www.bithumb.com)을 운영하며, 국내 1위, 전세계 1위 규모의 거래량을 점유하고 있는 명실상부한 1위 가상화폐 거래소입니다.",bithumb
8percent,https://8percent.kr/,1,"8퍼센트는 ‘기술을 통해 더 많은 사람들에게 최적의 금융서비스를 제공한다.’는 미션을 가진 대한민국의 대표적인 금융기술(Fintech) 스타트업으로 대출, 투자 분야의 혁신을 만들어 가고 있습니다.",8percent
Coinplug,https://www.coinplug.com/,1,"코인플러그는 블록체인 기술 연구를 선도하는 핀테크 회사입니다. 블록체인 기술 기반 인증서, 문서인증, 모바일 ID, 해외송금 플랫폼, 프라이빗 블록체인 기술 파이도레저 (Fidoledger), 엔터프라이즈 이더리움(EEA), 코다(Corda) 등 다양한 기술을 제공합니다.",Coinplug
Coinone,https://coinone.co.kr/,1,"The Future of Finance, 새로운 금융 생태계를 만들어 갑니다.코인원에서 더 쉽고, 빠르고, 안전하게
비트코인과 이더리움을 거래할 수 있습니다",Coinone
Funda,https://www.funda.kr/v2/,1,"지역 상점들에서 가장 상세한 데이터를 모으고 분석하는 회사.펀다는 상점 데이터 분석과 P2P 중개 방식을 이용하여 현재 대출 시장이 가지고 있는 문제점을 개선함으로써, 이자율과 담보물을 낮추고 상인들이 편하게 빌릴 수 있는 10%대의 중금리 시장을 만들 것입니다.",Funda
TogetherFunding,https://www.together.co.kr/,1,"2015년 9월에 오픈한 투게더펀딩은 아직 신출내기 핀테크 크라우드펀딩 업체입니다. 하지만 투게더펀딩이 그리는 미래는 최단기간 1000억 누적대출액 돌파 같은 수치 이상의 가치를 가진 투자자 대출자와 언제나 함께하며, 모두에게 믿음과 풍요를 가져다주는 금융을 꿈꿉니다.",TogetherFunding
Rainist,https://banksalad.com/,1,"뱅크샐러드는 금융상품의 선택부터 관리까지, 사용자의 개인 금융을 책임지는 All-round Service입니다. 3,500여 개 카드 상품, 25만 여 개의 혜택 데이터를 기반으로 가장 정교한 카드/예적금 추천을 제공할 뿐만 아니라, 카드 혜택 분석부터 소득공제 관리까지 4,000만 카드 사용자 모두가 합리적인 소비 생활을 누릴 수 있도록 돕는 지출관리 모바일 앱을 제공하고 있습니다. 국내 유일하게 사용자의 우대금리 조건 충족 여부를 반영한 맞춤형 예적금 비교 추천 서비스를 2016년 5월부터 운영 중이며, 통합 자산관리 서비스를 준비 중입니다.",Banksalad
MyRealPlan,https://www.myrealplan.co.kr/,1,"보험을 판매하지 않는 사람이 데이터를 기반으로 추천하고, 소비자 입장에서 정보를 쉽게 제공하면 어떨까. 그렇게 다섯명의 IT전문가와 금융전문가가
만나서 마이리얼플랜이 시작되었습니다. 우리는 마이리얼플랜이 대한민국의 누군가를 행복하게 한다고 믿습니다. 75,000명 돌파! 보험 선택 전 후엔 마리플 10만명 빅데이터 기반 알고리즘 정보분석 플랫폼에서 보험 선택의 어려움, 보험료의 부담 모두 낮춰보세요",MyRealPlan
BrilliantTS,http://brilliantts.com/,1,"브릴리언츠는 IC칩과 블루투스·근거리무선통신(NFC)·전자태그(RFID)·마그네틱카드를 모두 지원하는 스마트 멀티카드를 개발하여 신사등에 공급 하는 회사입니다. 브릴리언트 카드는 오프라인 결제에 이용하고 있는 모든 기능을 카드 하나에 구현할 수 있어 신용카드는 물론이고 교통카드, 체크카드, NFC 결제 등 원하는대로 사용할 수 있습니다.",BrilliantTS
Toss,https://toss.im/,1,"토스팀은 이전에 없던 혁신적인 금융 서비스 경험을 제공함으로써 서비스 출시 이후,
지금까지 누적 송금액 9.3조 원을 기록, 다운로드 1,200만을 돌파하면서 종합금융플랫폼으로 발돋움하고 있습니다. ",Toss
Tndn,www.tndn.net/,1,"티엔디엔은 한국 주요 관광지 내 글로벌 모바일 결제 통합 중개서비스를 운영 중인 스타트업입니다.
티엔디엔의 관광정보력과 데이터 분석 기술, 결제서비스와 IT기술력, 빠른 추진력과 단단한 팀워크를 통해 티엔디엔은 관광과 핀테크의 결합이라는 새로운 영역에 도전하고 있습니다. ",Tndn
Lendit,https://www.lendit.co.kr/,1,"2015년 3월에 설립된 렌딧은 대출자와 투자자를 연결해주는 온라인 플랫폼 서비스(P2P, Peer to Peer)를 만들어 운영하고 있는 핀테크(FinTech) 회사입니다. 대출자에게는 모든 과정을 온라인으로 제공하여 합리적인 금리와 편리함을 제공하고 있으며, 투자자에게는 대출채권을 기반으로 하는 포트폴리오를 구성하여 안전한 분산투자 기회를 제공하고 있습니다",Lendit
Sodit,https://www.sodit.co.kr/,1,"소딧은 부동산담보 채권 투자상품을 중개하는 대출형 P2P 펀딩입니다.
개인 간 금융거래 플랫폼(Peer to Peer : P2P)으로 부동산담보로 대출을 원하는 고객에게 중금리의 합리적인 금리와, 일반 소액 투자 고객에게는 평균 12%의 연 수익률로 중개해주는 플랫폼 서비스입니다. ",Sodit
KoreaNFC,http://www.hankooknfc.com,1,"주식회사 한국NFC는 스마트폰을 이용하는 결제 및 인증 모듈을 제공하여 카드정보 및 개인정보를 입력 및 저장하지 않고 사용자 스마트폰의
NFC기능을 활용하여 대중교통 이용 시 교통카드를 터치하듯 스마트폰에 신용카드를 터치하여 전자결제 및 본인인증이 이루어지는
""NFC간편결제""와 ""NFC카드터치 본인인증"" 및 NFC를 활용한 ""N버튼""과 ""NFC 슈퍼태그""를 제공하는 핀테크 선도 기업입니다.",KoreaNFC
Wadiz,https://www.wadiz.kr/,1,"금융의 사회적인 역할과 크라우드펀딩의 본질에 대해 연구하며, 힘과 정보의 불균형을 해결하고 공급과 수요를 직접 연결할 수 있는 금융 커뮤니티를 만들어가고 있습니다. 크라우드 펀딩은 눈속임으로 단순히 많은 돈을 모으는 일이 아닙니다. 다양한 사람들의 지혜를 신뢰하며 투명하고 진정성 있는, 더 나은 삶을 만들기 위해 매일 우리는 도전합니다.",Wadiz
Honestfund,https://www.honestfund.kr/,1,"어니스트펀드는 IT기술과 금융이 만나 보다 정직하고 편리한 세상을 만들어 갈 수 있다는 확고한 믿음을 바탕으로 만들어졌습니다. 오늘날 기술의 발전은 금융서비스와 고객 간에 새로운 방식의 상호작용을 가능케 하고 있으며, 이러한 흐름은 금융업을 혁신의 대상으로 변화시키고 있습니다",Honestfund
Blocko,https://www.blocko.io,1,"코인스택은 국내에서는 유일한 Blockchain as a service를 제공하는 차세대 솔루션 개발 플랫폼입니다. 코인스택은 고가용성,
고성능의 블록체인 엔진을 제공하여 어떠한 종류의 비즈니스 영역에서라도 최상의 퍼포먼스를 발휘할 수 있도록 설계되었습니다
",Blocko
Sentbe,https://www.sentbe.com/,1,"센트비는 은행보다 더 저렴하고, 더 빠르고, 더 편리한 해외송금 서비스를 제공하는 핀테크 서비스입니다.

더 좋은 해외송금 서비스를 제공하기 위하여 센트비는 비트코인을 매개로 송금을 하는 혁신적인 방식을 채택하고 있습니다.
센트비는 작년 2월부터 필리핀을 중심으로 한 동남아 시장에 서비스를 제공하고 있으며, 성장 속도가 점점 빠르게 증가하고 있습니다.",Sentbe
