jQuery,https://jquery.com/,JavaScript library,"Query(제이쿼리)는 HTML의 클라이언트 사이드 조작을 단순화 하도록 설계된 크로스 플랫폼의 자바스크립트 라이브러리다. 존 레식이 2006년 뉴욕 시 바캠프(Barcamp NYC)에서 공식적으로 소개하였다. jQuery는 오늘날 가장 인기있는 자바스크립트 라이브러리 중 하나이다. jQuery는 MIT 라이선스와 GNU 일반 공중 사용 허가서v2의 듀얼 라이선스를 가진 자유 오픈 소프트웨어이다. jQuery의 문법은 코드 보기, 문서 객체 모델 찾기, 애니메이션 만들기, 이벤트 제어, Ajax 개발을 쉽게 할 수 있도록 디자인되었다. 또한, jQuery는 개발자가 플러그인을 개발할 수 있는 기능을 제공한다. 마이크로소프트와 노키아는 자사 플랫폼에 jQuery를 포함하는 계획을 발표한 바 있다. 마이크로소프트는 비주얼스튜디오의 ASP.NET AJAX 프레임워크와 ASP.NET MVC 프레임워크에 적용했고, 노키아는 자사의 런타임 웹 위젯 개발 플랫폼에 통합하였다. 또한, jQuery는 미디어위키에도 1.16 버전부터 사용되고 있다.",3.2.1,
AngularJS,https://angularjs.org/,JavaScript frameworks,"AngularJS(""Angular.js"" 또는 ""AngularJS 1.X"")는 자바스크립트 기반의 오픈 소스 프론트엔드 웹 애플리케이션 프레임워크의 하나로, 싱글 페이지 애플리케이션 개발 중에 마주치는 여러 문제들을 해결하기 위해 개발되었으며 주로 구글과 개별 커뮤니티, 여러 회사에 의해 유지보수되고 있다. 자바스크립트 구성 요소들은 크로스 플랫폼 모바일 앱을 개발하기 위해 사용되는 프레임워크인 아파치 코도바를 보완한다. 리치 인터넷 애플리케이션에 공통적으로 사용되는 구성 요소들과 더불어 클라이언트 사이드의 모델-뷰-컨트롤러(MVC)와 모델-뷰-뷰모델(MVVM) 구조를 위한 프레임워크를 제공함으로써 이러한 애플리케이션들의 개발 및 테스트를 단순화하는 것이 목적이다. 2014년에 오리지널 AngularJS 팀은 Angular 플랫폼에 대한 작업에 착수하였다.",5.0.6,
Backbone.js,http://backbonejs.org/,JavaScript library,"Backbone.js 는 RESTful JSON 인터페이스 가있는 JavaScript 라이브러리이며 MVP ( Model-View- Presenter) 응용 프로그램 디자인 패러다임을 기반으로 한다 . 백본은 경량 인 것으로 알려져 있다. 하나의 JavaScript 라이브러리 (Underscore.js )와 전체 라이브러리 사용을위한 jQuery 에만 의존 하고 있다. 이는 현상을 위해 설계 한 페이지 웹 애플리케이션 , 및 웹 애플리케이션의 여러 부분 (예를 들면 복수의 클라이언트 및 서버)를 유지하기위한 동기화.  백본은 Jeremy Ashkenas에 의해 만들어 졌고, CoffeeScript 와 Underscore.js 로도 알려져있다. DOM 처리시 Backbone.js는 선언적 프로그래밍 스타일 ( 데이터 속성을 사용하는 AngularJS 에서 일반적) 과 달리 명령형 프로그래밍 스타일을 채택한다.",1.3.3.,
React,https://reactjs.org/,JavaScript library,"React는 사용자 인터페이스를 만들기위해 페이스북과 인스타그램에서 개발한 오픈소스 자바스크립트 라이브러리로써, 사용자 인터페이스(User Interface)에 집중하며, Virtual DOM을 통해 속도와 편의를 높이고, 단방향 데이터플로우를 지원하여 보일러플레이트 코드를 감소시켜, 많은 사람들이 React를 MVC의 V를 고려하여 선택한다. 즉, React는 지속해서 데이터가 변하는 대규모ㅍ어플리케이션의 구축이라는 하나의 문제를 풀기 위해서 만들어졌다.",16.2.0,
Vue,https://vuejs.org/,JavaScript frameworks,사용자 인터페이스를 만들기 위한 진보적인 프레임워크다. 다른 단일형 프레임워크와 달리 Vue는 점진적으로 채택할 수 있도록 설계하였다. 핵심 라이브러리는 뷰 레이어만 초점을 맞추어 다른 라이브러리나 기존 프로젝트와의 통합이 매우 쉽다. 그리고 Vue는 현대적 도구 및 지원하는 라이브러리와 함께 사용한다면 정교한 단일 페이지 응용프로그램을 완벽하게 지원할 수 있다.,2.0.0,
Ember,https://www.emberjs.com/,JavaScript frameworks,Ember.js 는 Model-view-viewmodel (MVVM) 패턴을 기반으로 하는 오픈 소스 JavaScript 웹 프레임 워크다. 개발자 는 공통 관용구 및 모범 사례를 프레임 워크 에 통합 하여 확장 가능한 단일 페이지 웹 응용 프로그램을 만들 수 있다 .,2.16,
Sass,http://sass-lang.com/,CSS preprocessors,"Sass는 CSS ( Cascading Style Sheets) 로 해석 되거나 컴파일 되는 스크립팅 언어이다. SassScript는 스크립팅 언어 그 자체입니다. Sass는 두 가지 구문으로 구성된다 . ""들여 쓰기 된 구문""이라고하는 원래 구문은 Haml 과 비슷한 구문을 사용한다. 들여 쓰기를 사용 하여 코드 블록 과 개행 문자를 분리하여 규칙을 구분한다. 새로운 구문 인 ""SCSS""는 CSS와 같은 블록 형식을 사용한다. 중괄호를 사용하여 코드 블록과 세미콜론을 나타내어 블록 내의 줄을 구분한다. 들여 쓰기 된 구문 및 SCSS 파일에는 전통적으로 확장 .sass 및 .scss와 같다.",3.5.1.,
Less,http://lesscss.org/features/,CSS preprocessors,less (때로는 LESS로 양식 )는 CSS ( Cascading Style Sheets) 로 컴파일되고 클라이언트 측 또는 서버 측에서 실행될 수 있는 동적 스타일 시트 언어. Alexis Sellier가 디자인 한 Less는 Sass의 영향을 받아 Sass 의 새로운 SCSS 구문에 영향을 주었다. Sass는 CSS와 유사한 블록 형식 구문을 적용했다. 첫 번째 버전은 Ruby로 작성되었다 . 그러나 이후 버전에서는 Ruby 사용이 더 이상 사용되지 않고 JavaScript 로 대체되었다. 들여 쓰기 된 Less 구문은 중첩 된 메타 언어다.,2.7.2.,
Bootstrap,http://getbootstrap.com/,CSS frameworks,"부트 스트랩은 HTML, CSS 및 JS로 개발하기위한 오픈 소스 툴킷입니다. Sass 변수 및 믹스, 응답 성있는 그리드 시스템, 광범위한 사전 빌드 된 구성 요소 및 jQuery를 기반으로하는 강력한 플러그인을 사용하여 아이디어를 신속하게 프로토 타입하거나 전체 앱을 제작할 수 있습니다.",4.0.0,
Semantic,https://semantic-ui.com/,CSS frameworks,시맨틱 UI는 Gulp 빌드 도구를 패키지로 제공하므로 프로젝트가 자체 테마 변경 사항을 보존 할 수 있습니다. 시맨틱 UI를 설치하는 가장 쉬운 방법은 설치를 대화식으로하고 업데이트를 원활하게하기위한 특수 설치 스크립트가 포함 된 NPM 패키지입니다.,2.2.13.,
Materialize,http://materializecss.com/,CSS frameworks,구글이 만든 Material Design은 성공적인 디자인의 기본 원칙을 기술 및 혁신과 합친 디자인 언어입니다. 구글의 목표는 어느 플랫폼 상에서도 구글의 상품에 통합된 UX를 제공할 수 있는 디자인 시스템을 개발하는 것입니다.,1.0,
Polymer,https://www.polymer-project.org/,JavaScript library,Material Design을 기반으로 한 Polymer는 웹 컴포넌트 기반 어플리케이션을 쉽고 빠르게 만들게 해주는 라이브러리다. Polymer는 DOM을 템플릿화 하여 재활용함을 목적으로 하고 JavaScript로 만들어 졌다.,2.0,,
